"time","temp","feels","wind","gust","rain","humidity","cloud","pressure","vis","date"
"21:00","2 °c",-3 °c,"20 km/h from NW","30 km/h","0.0 mm","74%","28%","1000 mb",Excellent,"2019-01-27"
"00:00","1 °c",-4 °c,"15 km/h from WNW","23 km/h","0.0 mm","76%","6%","1002 mb",Excellent,"2019-01-28"
"03:00","1 °c",-4 °c,"15 km/h from WNW","23 km/h","0.0 mm","80%","8%","1003 mb",Excellent,"2019-01-28"
"06:00","1 °c",-3 °c,"12 km/h from WNW","18 km/h","0.0 mm","77%","5%","1004 mb",Excellent,"2019-01-28"
"09:00","1 °c",-3 °c,"13 km/h from W","19 km/h","0.0 mm","75%","12%","1006 mb",Excellent,"2019-01-28"
"12:00","3 °c","0 °c","14 km/h from W","17 km/h","0.0 mm","61%","19%","1006 mb",Excellent,"2019-01-28"
"15:00","4 °c","0 °c","15 km/h from WSW","20 km/h","0.0 mm","62%","12%","1005 mb",Excellent,"2019-01-28"
"18:00","3 °c",-1 °c,"21 km/h from WSW","29 km/h","0.2 mm","72%","95%","1004 mb",Excellent,"2019-01-28"
"21:00","2 °c",-2 °c,"19 km/h from W","33 km/h","0.0 mm","79%","14%","1002 mb",Excellent,"2019-01-28"
"00:00","2 °c",-3 °c,"19 km/h from WSW","32 km/h","0.0 mm","79%","43%","1001 mb",Excellent,"2019-01-29"
"03:00","2 °c",-3 °c,"19 km/h from SW","31 km/h","0.0 mm","86%","66%","998 mb",Excellent,"2019-01-29"
"06:00","2 °c",-2 °c,"14 km/h from SW","22 km/h","0.2 mm","90%","58%","995 mb",Excellent,"2019-01-29"
"09:00","3 °c","1 °c","8 km/h from SW","11 km/h","1.2 mm","92%","100%","992 mb",Excellent,"2019-01-29"
"12:00","3 °c","0 °c","14 km/h from WNW","17 km/h","1.2 mm","82%","100%","991 mb",Poor,"2019-01-29"
"15:00","3 °c",-1 °c,"17 km/h from W","23 km/h","0.1 mm","75%","97%","990 mb",Good,"2019-01-29"
"18:00","1 °c",-4 °c,"16 km/h from W","24 km/h","0.0 mm","73%","19%","990 mb",Excellent,"2019-01-29"
"21:00","0 °c",-4 °c,"13 km/h from W","20 km/h","0.0 mm","75%","4%","991 mb",Excellent,"2019-01-29"
"00:00",-1 °c,-5 °c,"14 km/h from WSW","24 km/h","0.0 mm","72%","22%","991 mb",Excellent,"2019-01-30"
"03:00","0 °c",-4 °c,"15 km/h from SW","25 km/h","0.0 mm","77%","30%","991 mb",Excellent,"2019-01-30"
"06:00","0 °c",-4 °c,"13 km/h from WSW","22 km/h","0.0 mm","76%","63%","991 mb",Excellent,"2019-01-30"
"09:00","1 °c",-3 °c,"12 km/h from WSW","18 km/h","0.0 mm","76%","76%","992 mb",Excellent,"2019-01-30"
"12:00","3 °c","0 °c","12 km/h from W","14 km/h","0.0 mm","66%","31%","993 mb",Excellent,"2019-01-30"
"15:00","4 °c","1 °c","12 km/h from WSW","13 km/h","0.0 mm","64%","5%","993 mb",Excellent,"2019-01-30"
"18:00","1 °c",-3 °c,"12 km/h from SW","22 km/h","0.0 mm","77%","10%","993 mb",Excellent,"2019-01-30"
"21:00","0 °c",-3 °c,"12 km/h from SW","21 km/h","0.0 mm","78%","11%","994 mb",Excellent,"2019-01-30"
"00:00","0 °c",-4 °c,"12 km/h from SW","21 km/h","0.0 mm","77%","9%","994 mb",Excellent,"2019-01-31"
"03:00","0 °c",-2 °c,"6 km/h from SW","9 km/h","0.0 mm","83%","4%","994 mb",Excellent,"2019-01-31"
"06:00","0 °c",-2 °c,"5 km/h from S","7 km/h","0.0 mm","84%","4%","993 mb",Excellent,"2019-01-31"
"09:00","1 °c","1 °c","4 km/h from SE","5 km/h","0.0 mm","82%","0%","993 mb",Excellent,"2019-01-31"
"12:00","3 °c","0 °c","10 km/h from E","11 km/h","0.0 mm","68%","1%","992 mb",Excellent,"2019-01-31"
"15:00","3 °c",-1 °c,"13 km/h from E","15 km/h","0.0 mm","65%","5%","991 mb",Excellent,"2019-01-31"
"18:00","0 °c",-3 °c,"11 km/h from E","18 km/h","0.0 mm","77%","10%","992 mb",Excellent,"2019-01-31"
"21:00","0 °c",-3 °c,"9 km/h from NE","14 km/h","0.0 mm","83%","38%","993 mb",Excellent,"2019-01-31"
